index,Country,Date,AvgTemperature
63624,Sri Lanka,2018-08-11,80.9
63625,Sri Lanka,2018-08-12,80.7
63626,Sri Lanka,2018-08-13,81.7
63627,Sri Lanka,2018-08-14,80.7
63628,Sri Lanka,2018-08-15,78.1
63629,Sri Lanka,2018-08-16,79.8
63630,Sri Lanka,2018-08-17,79.3
63631,Sri Lanka,2018-08-18,78.5
63632,Sri Lanka,2018-08-19,78.6
63633,Sri Lanka,2018-08-20,79.4
63634,Sri Lanka,2018-08-21,79.5
63635,Sri Lanka,2018-08-22,78.5
63636,Sri Lanka,2018-08-23,79.4
63637,Sri Lanka,2018-08-24,79.1
63638,Sri Lanka,2018-08-25,79.0
63639,Sri Lanka,2018-08-26,78.5
63640,Sri Lanka,2018-08-27,80.4
63641,Sri Lanka,2018-08-28,79.6
63642,Sri Lanka,2018-08-29,79.2
63643,Sri Lanka,2018-08-30,80.0
63644,Sri Lanka,2018-08-31,80.2
63645,Sri Lanka,2018-09-01,79.2
63646,Sri Lanka,2018-09-02,79.3
63647,Sri Lanka,2018-09-03,80.0
63648,Sri Lanka,2018-09-04,80.4
63649,Sri Lanka,2018-09-05,80.9
63650,Sri Lanka,2018-09-06,82.2
63651,Sri Lanka,2018-09-07,82.5
63652,Sri Lanka,2018-09-08,81.6
63653,Sri Lanka,2018-09-09,81.7
63654,Sri Lanka,2018-09-10,81.9
63655,Sri Lanka,2018-09-11,82.0
63656,Sri Lanka,2018-09-12,82.7
63657,Sri Lanka,2018-09-13,82.2
63658,Sri Lanka,2018-09-14,82.4
63659,Sri Lanka,2018-09-15,83.0
63660,Sri Lanka,2018-09-16,83.9
63661,Sri Lanka,2018-09-17,-99.0
63662,Sri Lanka,2018-09-18,82.6
63663,Sri Lanka,2018-09-19,83.9
63664,Sri Lanka,2018-09-20,81.8
63665,Sri Lanka,2018-09-21,79.8
63666,Sri Lanka,2018-09-22,81.5
63667,Sri Lanka,2018-09-23,82.5
